frame_index,filename,timestamp,found,x,y,r,score,inliers,flow_dx,flow_dy,flow_dist,flow_n,ransac_vs_flow_error,motion_dx,motion_dy,motion_dist,motion_angle_deg,motion_direction,motion_speed,rotation_label,rotation_score,mean_ang_deg,ccw_fraction,cw_fraction,rot_n,x_smooth,y_smooth,r_smooth,jump_flag,dx,dy,dr,dist_moved,dx_smooth,dy_smooth,dr_smooth,dist_moved_smooth,good_detection
13,ida_full_20210829_1200.png,2021-08-29T12:00:00,True,2039.628906,1254.337402,66.84237671,255.7524567,278,-1.203170776,-0.820632935,1.456385365,12,7.921963363,5.328170515,-5.303833183,7.517981608,-44.86884655,NE,0.751798161,CCW,1.0,1.941467798,1.0,0.0,79,2036.165595,1257.784894,64.83474145,False,2.067626953,-1.796630859,2.478118896,2.739153822,1.86485968,-1.856341614,1.081034371,2.631293563,0
14,ida_full_20210829_1210.png,2021-08-29T12:10:00,True,2033.279541,1246.602173,62.47296143,208.6752777,238,-1.349439621,0.561638117,1.461651349,14,11.84445682,-2.8860544,-11.18272106,11.54913678,-104.4712111,N,1.154913678,CCW,1.0,2.063852414,1.0,0.0,80,2035.155476,1253.870942,64.00811844,False,-6.349365234,-7.735229492,-4.369415283,10.00740796,-1.01011904,-3.913952371,-0.826623008,4.042197872,0
15,ida_full_20210829_1220.png,2021-08-29T12:20:00,True,2027.260132,1255.094849,45.00397873,118.3111115,150,-0.305215359,0.774974823,0.832911995,14,7.603394056,-7.89534454,1.223907092,7.98964417,171.188355,W,0.798964417,CCW,0.8375,1.779496452,0.8375,0.1625,80,2032.392106,1254.299309,57.35666954,False,-6.01940918,8.492675781,-17.4689827,10.40955469,-2.763370589,0.428367482,-6.651448899,2.79637546,0
16,ida_full_20210829_1230.png,2021-08-29T12:30:00,True,2029.744141,1257.558105,53.31176758,146.8978882,162,-0.674613953,-0.394882202,0.781687878,7,4.152527261,-2.647965162,3.258796446,4.19898485,129.0959033,SW,0.419898485,CCW,0.873417722,1.757880473,0.873417722,0.126582278,79,2031.465318,1255.439888,55.94095385,False,2.484008789,2.463256836,8.307788849,3.498275847,-0.926787807,1.140578756,-1.415715687,1.469644698,0
17,ida_full_20210829_1240.png,2021-08-29T12:40:00,True,2017.672852,1247.338745,57.34079361,220.2263947,254,-0.720773697,-0.599624634,0.937584355,8,15.07122833,-13.79246642,-8.101142662,15.99564448,-149.5717291,NW,1.599564448,CCW,0.875,1.710596022,0.875,0.125,80,2026.637955,1252.604488,56.43089777,False,-12.07128906,-10.21936035,4.029026031,15.81617355,-4.827363246,-2.835399932,0.489943914,5.598475568,0
18,ida_full_20210829_1250.png,2021-08-29T12:50:00,True,2018.359131,1246.743042,57.86974716,264.8935852,285,-1.130491257,-0.508375168,1.23953854,2,8.930510904,-8.278823875,-5.861445855,10.14374055,-144.7013285,NW,1.014374055,CCW,0.936708861,1.94523855,0.936708861,0.063291139,79,2023.740366,1250.552982,56.93449506,False,0.686279297,-0.595703125,0.528953552,0.908758211,-2.897588356,-2.051506049,0.503597288,3.550309191,0
19,ida_full_20210829_1300.png,2021-08-29T13:00:00,True,2032.310425,1259.618042,53.27062225,148.7963562,173,-0.8235569,-0.456668854,0.941696559,2,13.37547506,8.570058427,9.065060194,12.47482336,46.60781834,SE,1.247482336,CCW,0.925,2.575469215,0.925,0.075,80,2026.739887,1253.725753,55.65213958,False,13.95129395,12.875,-4.599124908,18.98431531,2.999520449,3.172771068,-1.282355481,4.366188175,0
20,ida_full_20210829_1310.png,2021-08-29T13:10:00,True,2013.470093,1230.565186,51.28197479,177.1654968,222,1.228057861,-0.8014431,1.46643689,6,26.64804207,-13.26979405,-23.16056732,26.69268276,-119.8104534,NW,2.669268276,CCW,0.9875,2.169423101,0.9875,0.0125,80,2022.095459,1245.619554,54.1225819,False,-18.84033203,-29.05285645,-1.988647461,34.62696317,-4.644427919,-8.106198562,-1.529557674,9.342438965,1
21,ida_full_20210829_1320.png,2021-08-29T13:20:00,True,2010.263306,1231.335938,54.98804092,203.1115723,235,-1.534599304,-0.644939423,1.664614635,5,17.08956225,-11.83215324,-14.2836168,18.54781818,-129.6374111,NW,1.854781818,CCW,0.883116883,2.496039005,0.883116883,0.116883117,77,2017.954205,1240.620288,54.42549256,False,-3.206787109,0.770751953,3.706066132,3.298111905,-4.141253636,-4.999265882,0.302910658,6.491736365,1
22,ida_full_20210829_1330.png,2021-08-29T13:30:00,True,2009.366699,1237.231689,47.85713959,156.9204865,175,-0.68624115,-0.651157379,0.946008905,9,8.362031664,-8.587506054,-3.38859897,9.231893804,-158.4659864,W,0.92318938,CCW,0.95,3.00925678,0.95,0.05,80,2014.948578,1239.434279,52.12656902,False,-0.896606445,5.895751953,-7.130901337,5.963538732,-3.005627119,-1.186009639,-2.29892354,3.231162831,1
23,ida_full_20210829_1340.png,2021-08-29T13:40:00,True,2008.473389,1238.217651,51.91826248,194.7074432,207,-0.393562317,-0.836997986,0.924909144,5,6.093464325,-6.475189482,-1.216627416,6.5884946,-169.3587251,W,0.65884946,CCW,0.831168831,2.240426913,0.831168831,0.168831169,77,2012.682262,1239.008459,52.05366173,False,-0.893310547,0.985961914,4.061122894,1.330460307,-2.266316319,-0.425819596,-0.072907288,2.30597311,1
24,ida_full_20210829_1350.png,2021-08-29T13:50:00,True,2019.362549,1232.443115,44.89625549,91.74084473,114,0.278094053,-1.366713524,1.394719384,8,8.247049944,6.680286993,-6.565343953,9.36642811,-44.50281072,NE,0.936642811,CCW,0.975,3.444307101,0.975,0.025,80,2015.020362,1236.710589,49.54856955,False,10.88916016,-5.774536133,-7.022006989,12.32554569,2.338100448,-2.297870384,-2.505092183,3.278249838,1
25,ida_full_20210829_1400.png,2021-08-29T14:00:00,True,2020.041138,1230.404541,46.27992249,115.5263901,136,-3.85282135,0.59525919,3.898533809,5,11.24138592,5.020775413,-6.306047788,8.060671464,-51.47375173,NE,0.806067146,CCW,0.875,2.799676236,0.875,0.125,80,2016.777634,1234.503472,48.40454308,False,0.678588867,-2.038574219,1.383666992,2.148550138,1.757271394,-2.207116726,-1.144026472,2.821235012,1
26,ida_full_20210829_1410.png,2021-08-29T14:10:00,True,2017.322266,1231.495605,45.93283844,95.94139862,107,-1.212875366,-1.244953156,1.738095226,5,2.489316333,0.544631948,-3.007866609,3.056776979,-79.73670024,N,0.305677698,CCW,0.9,2.819174058,0.9,0.1,80,2016.968255,1233.450719,47.53944645,False,-2.71887207,1.091064453,-0.347084045,2.929622326,0.190621182,-1.052753313,-0.865096623,1.069871943,1
27,ida_full_20210829_1420.png,2021-08-29T14:20:00,True,2019.918701,1230.861572,45.43745041,96.992836,111,-1.721675873,-0.874762535,1.931159575,7,4.976729659,2.950446313,-2.589146499,3.925406099,-41.2683762,NE,0.39254061,CCW,0.936708861,2.555435151,0.936708861,0.063291139,79,2018.000911,1232.544517,46.80374784,False,2.596435547,-0.634033203,-0.495388031,2.672728129,1.03265621,-0.906201275,-0.735698616,1.373892135,1
28,ida_full_20210829_1430.png,2021-08-29T14:30:00,True,2016.457397,1231.267212,46.71569824,79.73305511,87,-0.747741699,0.105773926,0.755185919,4,1.595669715,-1.543513607,-1.277305576,2.003482915,-140.3911844,NW,0.200348292,CCW,0.906666667,2.201097106,0.906666667,0.093333333,75,2017.460681,1232.097461,46.77293048,False,-3.461303711,0.405639648,1.278247833,3.484991665,-0.540229763,-0.447056952,-0.030817358,0.70121902,1
29,ida_full_20210829_1440.png,2021-08-29T14:40:00,True,2017.019409,1231.844604,48.88638687,87.23110199,95,-0.241188049,-0.703897476,0.744072128,4,0.493428829,-0.441272126,-0.252856046,0.508583591,-150.1865954,NW,0.050858359,CCW,0.884615385,1.93668986,0.884615385,0.115384615,78,2017.306236,1232.008961,47.51264022,False,0.562011719,0.577392578,2.170688629,0.805753909,-0.154445244,-0.088499616,0.739709737,0.178004257,1
